Genero,Faixa_Etaria,Escolaridade,Familiaridade,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Feminino,18-20,SI,Nao,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Masculino,21-29,SI,Sim,4.0,2.0,4,2,2,4,4,4,3,2,3,3,2,2,3,2,2,3,3,3
Masculino,18-20,EMC,Sim,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Masculino,21-29,SI,Nao,3.0,3.0,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
Masculino,21-29,SC,Nao,5.0,5.0,5,4,3,3,3,5,4,5,3,3,3,3,5,3,3,3,3,2
Masculino,18-20,SI,Sim,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Feminino,21-29,SI,Sim,3.0,2.0,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4
Feminino,21-29,SI,Sim,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Feminino,21-29,SC,Sim,4.0,2.0,2,2,3,3,3,2,3,3,2,2,2,2,3,2,3,2,3,2
Masculino,18-20,EMC,Sim,3.0,1.0,3,3,4,3,4,1,1,4,4,3,4,4,4,2,3,4,3,4
Feminino,18-20,SI,Nao,4.0,3.0,3,2,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3
Feminino,21-29,EMC,Sim,4.0,4.0,2,2,3,3,2,4,4,4,2,2,2,2,4,2,3,2,4,2
Feminino,18-20,SI,Nao,2.0,3.0,2,3,2,3,2,4,3,3,3,2,2,2,4,2,2,2,3,2
Masculino,18-20,EMC,Nao,2.0,3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Feminino,18-20,SI,Nao,4.0,3.0,3,2,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3
Masculino,21-29,SC,Sim,5.0,5.0,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4
Masculino,21-29,SI,Sim,4.0,4.0,4,3,4,2,3,2,3,3,4,3,3,4,3,4,3,4,4,4
Masculino,21-29,SI,Sim,4.0,4.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Masculino,21-29,SI,Sim,5.0,4.0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Masculino,21-29,SC,Sim,2.0,3.0,4,2,1,2,4,4,4,2,1,2,2,2,5,2,2,2,3,2
Masculino,21-29,SC,Nao,3.0,4.0,3,3,3,3,4,3,3,4,3,4,4,2,3,3,3,3,3,3
Masculino,21-29,SC,Nao,3.0,2.0,2,1,1,1,2,3,3,2,2,2,1,3,3,2,1,2,3,2
Feminino,18-20,SI,Sim,2.0,2.0,4,3,3,3,3,4,4,4,4,3,3,4,4,5,4,4,4,4
